"type","price","title","status","discount","per_serviceman_commission","duration","user_id","description","speciality_description","is_featured","duration_unit","service_rate","required_servicemen","created_by_id","is_random_related_services","categories","taxes","related_services","image","web_images","web_thumbnail","thumbnail"
"fixed","40","Ayurvedic Massage","1","1","6","2","33","Experience the ancient healing art of Ayurvedic Massage, a therapeutic technique that rejuvenates the body and mind. Our skilled therapists use traditional Ayurvedic oils and gentle strokes to balance your doshas, promoting relaxation, detoxification, and overall well-being. Whether you seek relief from stress, muscle tension, or simply wish to indulge in a soothing treatment, our Ayurvedic Massage offers a holistic approach to wellness.","","","hours","39.6","1","1","1","[54]","[1]","[8,9,10,14,18,19]","[""http:\/\/127.0.0.1:8000\/storage\/505\/Ayurvedic-Massage-,-Ayurvedic-head-massage._2.png"",""http:\/\/127.0.0.1:8000\/storage\/506\/Ayurvedic-Massage-,-Ayurvedic-head-massage._3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/507\/Ayurvedic-Massage-,-Ayurvedic-head-massage._1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/677\/Ayurvedic-Massage_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/674\/Ayurvedic-Massage_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/675\/Ayurvedic-Massage_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/676\/Ayurvedic-Massage_1.jpg""]"
"fixed","120","Ayurvedic Pain Relief Head, Neck & Shoulder Massage","1","1","6","3","33","Indulge in our Ayurvedic Pain Relief Head, Neck & Shoulder Massage, a specialized treatment designed to target and alleviate tension and discomfort in these specific areas. Using a combination of traditional Ayurvedic techniques and therapeutic oils, this massage helps relieve pain, reduce inflammation, and improve mobility, leaving you feeling rejuvenated and relaxed.","","1","hours","118.8","1","1","1","[54]","[1]","[8,9,10,13]","[""http:\/\/127.0.0.1:8000\/storage\/502\/Ayurvedic-Pain-Relief-Head,-Neck-&-Shoulder-Massage_2.png"",""http:\/\/127.0.0.1:8000\/storage\/503\/Ayurvedic-Pain-Relief-Head,-Neck-&-Shoulder-Massage_3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/504\/Ayurvedic-Pain-Relief-Head,-Neck-&-Shoulder-Massage_1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/681\/Ayurvedic-Pain-Relief-Head,-Neck-&-Shoulder-Massage_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/678\/Ayurvedic-Pain-Relief-Head,-Neck-&-Shoulder-Massage_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/679\/Ayurvedic-Pain-Relief-Head,-Neck-&-Shoulder-Massage_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/680\/Ayurvedic-Pain-Relief-Head,-Neck-&-Shoulder-Massage_1.jpg""]"
"fixed","80","Chimney Sweeping & Cleaning","1","10","7","2","33","Keep your fireplace safe and efficient with our professional chimney sweeping service. We remove soot, debris, and creosote buildup to prevent fires and improve airflow.","","1","hours","72","2","1","1","[11,13,16]","[1]","[11,12,25,47,4,30,31,32,48]","[""http:\/\/127.0.0.1:8000\/storage\/499\/Chimney-sweeping-&-Cleaning_2.png"",""http:\/\/127.0.0.1:8000\/storage\/500\/Chimney-sweeping-&-Cleaning_3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/501\/Chimney-sweeping-&-Cleaning_1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/685\/Chimney-Sweeping-&-Cleaning_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/682\/Chimney-Sweeping-&-Cleaning_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/683\/Chimney-Sweeping-&-Cleaning_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/684\/Chimney-Sweeping-&-Cleaning_1.jpg""]"
"fixed","70","Face Care & Facial  Detan Service For Men","1","6","8","1","33","Bro Glow offers a rejuvenating facial and detan service to combat dullness and sun damage. Achieve a healthy, refreshed look!","","1","minutes","65.8","1","1","1","[49,52,54]","[1]","[19]","[""http:\/\/127.0.0.1:8000\/storage\/496\/Face-care2.png"",""http:\/\/127.0.0.1:8000\/storage\/497\/Face-care3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/498\/Face-care.png""]","[""http:\/\/127.0.0.1:8000\/storage\/952\/Face_Care_Facial_Detan_Service_thumb.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/949\/Face_Care_Facial_Detan_Service3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/950\/Face_Care_Facial_Detan_Service2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/951\/Face_Care_Facial_Detan_Service.jpg""]"
"fixed","60","Full Body Massage","1","5","5","2","33","Relax and rejuvenate with our full body massage service, designed to release tension and promote relaxation.","","1","hours","57","1","1","1","[49,54]","[1]","[8,9,10,13,14,18]","[""http:\/\/127.0.0.1:8000\/storage\/490\/Full-body-massage_2.png"",""http:\/\/127.0.0.1:8000\/storage\/491\/Full-body-massage_3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/492\/Full-body-massage_1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/697\/Full-Body-Massage_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/694\/Full-Body-Massage_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/695\/Full-Body-Massage_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/696\/Full-Body-Massage_1.jpg""]"
"fixed","150","Personal Chef Service","1","1","6","9","23","Hire a personal chef to create customized meals in the comfort of your home. Perfect for busy individuals or families looking for delicious and convenient meals.","","1","hours","148.5","1","1","1","[25,26]","[1]","[44,45]","[""http:\/\/127.0.0.1:8000\/storage\/487\/Personal-Chef-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/488\/Personal-Chef-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/489\/Personal-Chef-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/705\/Personal-Chef-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/702\/Personal-Chef-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/703\/Personal-Chef-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/704\/Personal-Chef-Service_1.jpg""]"
"fixed","130","Catering Services","1","10","6","3","23","Professional catering services for events of all sizes. From weddings to corporate events, our team will create a memorable dining experience for your guests.","","1","minutes","117","3","1","1","[25,27]","[1]","[20,22,44,45]","[""http:\/\/127.0.0.1:8000\/storage\/484\/Catering-Services_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/485\/Catering-Services_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/486\/Catering-Services_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/709\/Catering-Services_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/706\/Catering-Services_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/707\/Catering-Services_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/708\/Catering-Services_1.jpg""]"
"fixed","40","Cooking Classes","1","2","6","2","34","Join our cooking classes to learn new culinary skills and recipes. Perfect for beginners and seasoned cooks alike, our classes are fun and educational.","","1","hours","39.2","1","1","1","[25,28]","[1]","","[""http:\/\/127.0.0.1:8000\/storage\/481\/Cooking-Classes_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/482\/Cooking-Classes_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/483\/Cooking-Classes_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/713\/Cooking-Classes_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/710\/Cooking-Classes_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/711\/Cooking-Classes_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/712\/Cooking-Classes_1.jpg""]"
"fixed","100","Plumber Service","1","10","8","40","23","Our professional plumbers are available for all your plumbing needs, from installations to repairs. Whether it's a leaky faucet or a complete bathroom remodel, we've got you covered.","","1","minutes","90","1","1","","[43]","[1]","[20,21]","[""http:\/\/127.0.0.1:8000\/storage\/478\/Plumbing-Emergency-Repair-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/479\/Plumbing-Emergency-Repair-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/480\/Plumbing-Emergency-Repair-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/717\/Plumber-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/714\/Plumber-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/715\/Plumber-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/716\/Plumber-Service_1.jpg""]"
"fixed","60","AC Master Service","1","5","7","3","3","AC Master Service offers comprehensive air conditioning solutions, including installation, maintenance, cleaning, and repair. Our team of experienced technicians ensures your AC units operate efficiently and effectively, providing you with the comfort you need in your home or office. We pride ourselves on delivering prompt, professional, and reliable service to meet all your air conditioning needs.","","1","hours","57","1","1","","[7,8,9,12]","[1]","[3,4,5,12]","[""http:\/\/127.0.0.1:8000\/storage\/475\/AC-Master-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/476\/AC-Master-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/477\/Ac-master-service_1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/721\/AC-Master-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/718\/AC-Master-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/719\/AC-Master-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/720\/AC-Master-Service_1.jpg""]"
"fixed","50","Car Washing Service","1","15","7","1","3","Car Washing Service provides top-notch car cleaning and detailing solutions to keep your vehicle looking brand new. From basic exterior washes to comprehensive interior and exterior detailing, our skilled professionals use high-quality products and equipment to ensure your car receives the best care possible. We are committed to delivering exceptional service with a focus on customer satisfaction and convenience.","","1","hours","42.5","1","1","","[13,16]","","[4,12]","[""http:\/\/127.0.0.1:8000\/storage\/472\/Car-Washing-service_2.png"",""http:\/\/127.0.0.1:8000\/storage\/473\/Car-Washing-service_3.png""]","[""http:\/\/127.0.0.1:8000\/storage\/474\/Car-Washing-service_1.png""]","[""http:\/\/127.0.0.1:8000\/storage\/725\/Car-Washing-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/722\/Car-Washing-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/723\/Car-Washing-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/724\/Car-Washing-Service_1.jpg""]"
"fixed","40","AC Installation Service","1","10","9","3","3","Our AC Installation Service specializes in providing efficient and professional air conditioning installation for residential and commercial properties. Our certified technicians ensure that your new AC units are installed correctly and functioning optimally. We offer a variety of AC systems, tailored to meet your specific cooling needs, and guarantee high-quality service and customer satisfaction.","","1","minutes","36","2","1","","[7,8,9,12]","[1]","[3,24]","[""http:\/\/127.0.0.1:8000\/storage\/469\/AC-Installation-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/470\/AC-Installation-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/471\/AC-Installation-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/729\/AC-Installation-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/726\/AC-Installation-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/727\/AC-Installation-Service-2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/728\/AC-Installation-Service_1.jpg""]"
"fixed","90","Emergency Repair Service","1","7","6","3","3","Emergency Repair Service provides fast and reliable repair solutions for urgent issues in your home or office. Our team of skilled technicians is available 24/7 to handle emergencies such as plumbing leaks, electrical failures, and HVAC malfunctions. We prioritize your safety and comfort, ensuring prompt and effective repairs to minimize any disruption to your daily routine.","","1","minutes","83.7","2","1","","[7,8,9,10,12,21]","[1]","[3,4,24,26]","[""http:\/\/127.0.0.1:8000\/storage\/466\/Emergency-Repair-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/467\/Emergency-Repair-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/468\/Emergency-Repair-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/733\/Emergency-Repair-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/730\/Emergency-Repair-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/731\/Emergency-Repair-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/732\/Emergency-Repair-Service_1.jpg""]"
"fixed","60","Plumbing Emergency Repair Service","1","5","7","3","3","Our Plumbing Emergency Repair Service offers immediate assistance for all urgent plumbing issues. Whether it's a burst pipe, a severe leak, or a clogged drain, our experienced plumbers are available around the clock to provide fast and effective repairs. We understand the importance of addressing plumbing emergencies promptly to prevent water damage and ensure the safety and comfort of your property.","","1","minutes","57","1","1","","[10,21,43,48]","","[5,24,25]","[""http:\/\/127.0.0.1:8000\/storage\/463\/Plumbing-Emergency-Repair-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/464\/Plumbing-Emergency-Repair-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/465\/Plumbing-Emergency-Repair-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/737\/Plumbing-Emergency-Repair-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/734\/Plumbing-Emergency-Repair-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/735\/Plumbing-Emergency-Repair-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/736\/Plumbing-Emergency-Repair-Service_1.jpg""]"
"fixed","90","Electrical Emergency Repair Service","1","5","7","3","33","Our Electrical Emergency Repair Service provides rapid response to urgent electrical issues. Whether you're dealing with power outages, faulty wiring, or electrical fires, our certified electricians are available 24/7 to address and resolve the problem. We ensure your electrical system is safe and functional, minimizing downtime and risk.","","1","minutes","85.5","1","1","1","[10,21,31]","","[27,28,34,3]","[""http:\/\/127.0.0.1:8000\/storage\/460\/Electrical-Emergency-Repair-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/461\/Electrical-Emergency-Repair-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/462\/Electrical-Emergency-Repair-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/741\/Electrical-Emergency-Repair-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/738\/Electrical-Emergency-Repair-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/739\/Electrical-Emergency-Repair-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/740\/Electrical-Emergency-Repair-Service_1.jpg""]"
"fixed","60","Residential Cleaning Services","1","5","5","3","30","Our Home Cleaning Service provides thorough and detailed cleaning solutions for your entire home. Our professional cleaners use high-quality, eco-friendly products to ensure a clean and healthy living environment. From dusting and vacuuming to mopping and sanitizing, we cover every corner of your home to make it spotless.","","","minutes","57","1","1","1","[11,13,14,15]","","[4,11,12,15,25]","[""http:\/\/127.0.0.1:8000\/storage\/457\/Residential-Cleaning-Services_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/458\/Residential-Cleaning-Services_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/459\/Residential-Cleaning-Services_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/745\/Residential-Cleaning-Services_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/742\/Residential-Cleaning-Services_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/743\/Residential-Cleaning-Services_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/744\/Residential-Cleaning-Services_1.jpg""]"
"fixed","30","Carpet Cleaning Service","1","1","8","2","30","Our Carpet Cleaning Service offers deep cleaning solutions to remove dirt, stains, and allergens from your carpets. Using advanced steam cleaning techniques and eco-friendly products, we ensure your carpets are fresh, clean, and extend their lifespan. Our experienced technicians handle all types of carpets and rugs with care.","","1","minutes","29.7","1","1","","[13,14,15]","","[11,30]","[""http:\/\/127.0.0.1:8000\/storage\/454\/Carpet-Cleaning-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/455\/Carpet-Cleaning-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/456\/Carpet-Cleaning-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/935\/Carpet-Cleaning-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/932\/Carpet-Cleaning-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/933\/Carpet-Cleaning-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/934\/Carpet-Cleaning-Service_1.jpg""]"
"fixed","200","Window Cleaning Service","1","15","8","1.5","30","Our Window Cleaning Service ensures your windows are crystal clear and streak-free. We provide both interior and exterior window cleaning using professional-grade equipment and techniques. Our trained staff will leave your windows spotless, improving the overall appearance and brightness of your home.","","1","minutes","170","1","1","1","[13,14,15,17,18]","","[4,11,12,15,25,30,31]","[""http:\/\/127.0.0.1:8000\/storage\/451\/Window-Cleaning-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/452\/Window-Cleaning-Service_3.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/453\/Window-Cleaning-Service_1.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/749\/Window-Cleaning-Service_thumbnail.jpg""]","[""http:\/\/127.0.0.1:8000\/storage\/746\/Window-Cleaning-Service_3.jpg"",""http:\/\/127.0.0.1:8000\/storage\/747\/Window-Cleaning-Service_2.jpg"",""http:\/\/127.0.0.1:8000\/storage\/748\/Window-Cleaning-Service-1.jpg""]"
